Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
14,CLAD 4,441.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES WinLink VARA-FM RMS KD7ZDO-12 located at C-EOC",,,
15,CLAD 5,145.770000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES--Winlink VARA-FM RMS--KD7ZDO-11 located at C-EOC",,,
16,CLAD 6,145.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES DIGT--Winlink Packet RMS-- KD7ZDO-10--kd7zdo@winlink.org C-EOC",,,
17,CLAD 7,145.830000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES Winlink VARA-FM P-P KD7ZDO-Digipeater --KD7ZDO-5 C-EOC",,,
18,CFD1 1,145.750000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC CERT SIMP - CERT CFD 1",,,
19,CFD1 2,431.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC CERT SIMP - CFD 1 CERT Secondary",,,
20,CLOG 1,431.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES SIMP-CARES Logistics 1",,,
21,CLOG 2,431.875000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC ARES SIMP-CARES Logistics 2",,,
22,EAST 1,146.540000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC EAST SIMP-Clackamas East County ARES Simplex",,,
23,EAST 3,145.710000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC EAST Winlink VARA Packet / Tertiary analog voice",,,
24,EVENT1,440.275000,+,5.000000,TSQL,103.5,103.5,023,NN,FM,5.00,,"CLAC ARES Portable Event Repeater UHF",,,
25,EVENT2,144.650000,+,0.600000,TSQL,103.5,103.5,023,NN,FM,5.00,,"CLAC ARES Portable Event Repeater VHF",,,
26,LO 1,444.300000,+,5.000000,TSQL,82.5,82.5,023,NN,FM,5.00,,"CLAC LO--1R--RPTR Lake Oswego ARES Primary Primary (Echolink enabled)",,,
27,LO 2,146.500000,,0.000000,TSQL,82.5,82.5,023,NN,FM,5.00,,"CLAC LO--2--SIMP Lake Oswego ARES Simplex Secondary",,,
28,LO 3,145.530000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC LO--3--Winlink VARA-FM Packet Post Office WA7LO-10 / Digital Channel/Tertiary analog voice",,,
29,LO 4,431.900000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC LO--4--SIMP- Lake Oswego Logistics",,,
30,LO 5,147.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"LO LDS Stake Comm Primary",,,
31,LO 6,432.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"LO LDS Stake Comm Secondary",,,
32,NOCO 1,147.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC NORT SIMP Clackamas North County ARES Simplex",,,
33,NOCO 3,145.670000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC NORT Winlink VARA Packet / Tertiary analog voice",,,
34,OC 1,442.075000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,"CLAC OC-- RPTR Oregon City ARES Repeater",,,
35,OC 2,146.560000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC OC-- SIMP Oregon City ARES Simplex",,,
36,OC 3,145.630000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC OC--Winlink VARA Packet / Tertiary analog voice",,,
37,OC 4,431.925000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC OC-- SIMP-Logistics",,,
38,SAND 1,145.430000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,"CLAC SOUTH RPTR-- Sandy Repeater (KJ7IY)",,,
39,SAND 2,145.810000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC SOUTH SIMP-Sandy Simplex",,,
40,MOLA 1,440.700000,+,5.000000,TSQL,77.0,77.0,023,NN,FM,5.00,,"CLAC CERT RPTR-Molalla Fire CERT",,,
41,SOCO 2,146.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC SOUTH SIMP-Clackamas South County ARES Simplex",,,
42,SOCO 3,145.690000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC SOUTH--Winlink VARA Packet / Tertiary analog voice",,,
43,WEST 1,145.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC WEST SIMP-Clackamas West County ARES Simplex",,,
44,WEST 2,146.920000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"CLAC WEST RPRT--(AH6LE)",,,
45,WEST 3,145.730000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC WEST--Winlink VARA Packet / Tertiary analog voice",,,
46,WILS 1,146.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC WEST SIMP Wilsonville Simplex",,,
47,WILS 2,441.875000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,"CLAC SOUTH Wilsonville Repeater at Parrett Mt.",,,
48,WILS 3,431.925000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC WILS 3--SIMP-Wilsonville Logistics",,,
49,WLIN 1,146.440000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"CLAC WEST SIMP-West Linn Simplex",,,
50,APRS,144.390000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"IARU Region 2 APRS Frequency",,,
51,D1-1,147.320000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"D-1 Primary Net Repeater  [OEM Monitored]",,,
52,D1-2,146.840000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,"D-1 Secondary / Multnomah Co. ARES Primary Repeater",,,
53,D4-1,146.780000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,"D-4 Primary Net Repeater",,,
54,HRT 1,440.475000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,"HEART Net-Primary Repeater (K0HSU)",,,
55,HRT 2,442.700000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,"HEART Net Secondary Repeater",,,
56,INTEL1,145.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"Intel Emergency Amateur Radio Service (IEARS)",,,
57,LDS 1,146.700000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"CARS LDS Regional Emergency Network--Stonehenge Tower-KE7AWR",,,
58,NUCALL,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"National UHF Calling Simplex Frequency",,,
59,NVCALL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"National VHF Calling Simplex Frequency",,,
60,RED C1,146.980000,-,0.600000,DTCS,88.5,88.5,023,NN,FM,5.00,,"Red Cross Repeater (Portland)",,,
61,RED CR,147.420000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"Red Cross Simplex",,,
62,OEM 1,145.330000,-,0.600000,Tone,186.2,88.5,023,NN,FM,5.00,,"OEM Oregon Emergency Management (Salem)",,,
63,OEM 2,147.020000,+,0.600000,Tone,186.2,88.5,023,NN,FM,5.00,,"Oregon Emergency Management (OEM Salem)",,,
64,OEM 3,144.990000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"RMS Winlink VARA FM Packet W7ODN-10 / OEM EOC: w7oem@winlink.org",,,
65,PROV 1,146.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,"Providence Hospital Simplex Channel",,,
66,PROV 2,443.225000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,"Providence Portland Medical Center Repeater Frequency",,,
67,PROV 3,444.850000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,"Providence St. Vincent Medical Center Repeater Frequency",,,
68,W7SRA,146.860000,-,0.600000,Tone,186.2,88.5,023,NN,FM,5.00,,"Salem Prospect Hill--W7SRA Repeater",,,
69,YELLOW,147.120000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"Version Control Channel--Yellow released 2024-05-01",,,
